atc3_a,atc3_b
A01A,B03B
A01A,C09C
A01A,C10A
A01A,D07A
A01A,D10A
A01A,G01A
A01A,J01F
A01A,L01X
A01A,M01A
A01A,M02A
A01A,M03B
A01A,M05B
A01A,N03A
A01A,R03A
A01A,R06A
A01A,S01A
A02B,A07E
A02B,H02A
A02B,L01C
A02B,M01A
A02B,M03B
A02B,M05B
A02B,N02C
A02B,N05B
A02B,N06A
A03F,C03D
A03F,C07A
A03F,C09A
A03F,J01E
A03F,L01C
A03F,L01X
A05A,J05A
A06A,A07E
A06A,D07A
A06A,N06A
A06A,R01A
A07E,A11C
A07E,B01A
A07E,C07A
A07E,C09A
A07E,C09C
A07E,D05A
A07E,D10A
A07E,G03A
A07E,G04B
A07E,J05A
A07E,L01B
A07E,L04A
A07E,M01A
A07E,M03B
A07E,M05B
A07E,N02A
A07E,N04B
A07E,N05B
A07E,N05C
A07E,N06A
A07E,R05D
A07E,S01E
A10B,B01A
A10B,C10A
A10B,H03A
A10B,M01A
A10B,N06A
A11C,C05A
A11C,D07A
A11C,D10A
A11C,H02A
A11C,R01A
A12B,C02A
A12B,C07A
A12B,N02C
A12B,S01E
B01A,C01D
B01A,C05A
B01A,C05B
B01A,C08D
B01A,C09A
B01A,C09C
B01A,C10A
B01A,D07A
B01A,D10A
B01A,G04B
B01A,H02A
B01A,L01B
B01A,L04A
B01A,M01A
B01A,M03B
B01A,M05B
B01A,N02A
B01A,N04B
B01A,N05C
B01A,N06A
B01A,N06D
B01A,R01A
B01A,R05D
B01A,S01E
B03B,C01B
B03B,C02A
B03B,C05A
B03B,D04A
B03B,J05A
B03B,L01X
B03B,M01A
B03B,M02A
B03B,M05B
B03B,N01B
B03B,N02C
B03B,N05B
B03B,N05C
B03B,R02A
B03B,R03A
B03B,R06A
B03B,S01E
B03B,S01H
C01A,C01B
C01A,L04A
C01A,R05C
C01A,V03A
C01B,C10A
C01B,L01X
C01B,L04A
C01B,M01A
C01B,M02A
C01B,R06A
C01B,V03A
C01D,C08D
C01D,C09A
C01D,C10A
C01E,C09C
C01E,C10A
C01E,M01A
C01E,N05C
C01E,N06A
C02A,C07A
C02A,L01B
C02A,L04A
C02A,N06A
C03A,C07A
C03A,C09A
C03A,D04A
C03A,M04A
C03A,N03A
C03A,R06A
C03C,C09A
C03C,C10A
C03D,D10A
C03D,G03A
C03D,L01X
C03D,M04A
C05A,C07A
C05A,C09A
C05A,C09C
C05A,D05A
C05A,D07A
C05A,L01B
C05A,L01X
C05A,L04A
C05A,M01A
C05A,M02A
C05A,M05B
C05A,N05C
C05A,R03A
C05A,R06A
C05A,S01E
C05B,D10A
C05B,G04B
C05B,N02A
C05B,N04B
C05B,R05D
C07A,C09A
C07A,C09C
C07A,C10A
C07A,D07A
C07A,D10A
C07A,G04C
C07A,H02A
C07A,J01D
C07A,L01B
C07A,L04A
C07A,M01A
C07A,M04A
C07A,M05B
C07A,N02C
C07A,N06A
C07A,R01A
C07A,S01E
C08C,L01X
C08D,C09C
C08D,M01A
C09A,C09C
C09A,C10A
C09A,D07A
C09A,D10A
C09A,G04B
C09A,H02A
C09A,L01B
C09A,L04A
C09A,M01A
C09A,M04A
C09A,N02A
